X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
0,0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,0,0,1,1,4
0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,1,0,0,1,1
0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,1,0,1,1,1
0,0,0,0,0,1,1,0,0,1
0,0,0,0,0,1,1,0,1,1
0,0,0,0,0,1,1,1,0,1
0,0,0,0,0,1,1,1,1,1
0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,1,1
0,0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,1,1,1
0,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,0,1,2
0,0,0,0,1,0,1,1,0,3
0,0,0,0,1,0,1,1,1,4
0,0,0,0,1,1,0,0,0,1
0,0,0,0,1,1,0,0,1,1
0,0,0,0,1,1,0,1,0,1
0,0,0,0,1,1,0,1,1,1
0,0,0,0,1,1,1,0,0,1
0,0,0,0,1,1,1,0,1,1
0,0,0,0,1,1,1,1,0,1
0,0,0,0,1,1,1,1,1,2
0,0,0,1,0,0,0,0,0,3
0,0,0,1,0,0,0,0,1,4
0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,0,1,1,1
0,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,1,1
0,0,0,1,0,0,1,1,0,1
0,0,0,1,0,0,1,1,1,1
0,0,0,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,1,2
0,0,0,1,0,1,0,1,0,3
0,0,0,1,0,1,0,1,1,4
0,0,0,1,0,1,1,0,0,1
0,0,0,1,0,1,1,0,1,1
0,0,0,1,0,1,1,1,0,1
0,0,0,1,0,1,1,1,1,1
0,0,0,1,1,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1
0,0,0,1,1,0,0,1,0,1
0,0,0,1,1,0,0,1,1,2
0,0,0,1,1,0,1,0,0,3
0,0,0,1,1,0,1,0,1,4
0,0,0,1,1,0,1,1,0,1
0,0,0,1,1,0,1,1,1,1
0,0,0,1,1,1,0,0,0,1
0,0,0,1,1,1,0,0,1,1
0,0,0,1,1,1,0,1,0,1
0,0,0,1,1,1,0,1,1,1
0,0,0,1,1,1,1,0,0,1
0,0,0,1,1,1,1,0,1,2
0,0,0,1,1,1,1,1,0,3
0,0,0,1,1,1,1,1,1,4
0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,0,1,0,1
0,0,1,0,0,0,0,1,1,1
0,0,1,0,0,0,1,0,0,1
0,0,1,0,0,0,1,0,1,1
0,0,1,0,0,0,1,1,0,1
0,0,1,0,0,0,1,1,1,2
0,0,1,0,0,1,0,0,0,3
0,0,1,0,0,1,0,0,1,4
0,0,1,0,0,1,0,1,0,1
0,0,1,0,0,1,0,1,1,1
0,0,1,0,0,1,1,0,0,1
0,0,1,0,0,1,1,0,1,1
0,0,1,0,0,1,1,1,0,1
0,0,1,0,0,1,1,1,1,1
0,0,1,0,1,0,0,0,0,1
0,0,1,0,1,0,0,0,1,2
0,0,1,0,1,0,0,1,0,3
0,0,1,0,1,0,0,1,1,4
0,0,1,0,1,0,1,0,0,1
0,0,1,0,1,0,1,0,1,1
0,0,1,0,1,0,1,1,0,1
0,0,1,0,1,0,1,1,1,1
0,0,1,0,1,1,0,0,0,1
0,0,1,0,1,1,0,0,1,1
0,0,1,0,1,1,0,1,0,1
0,0,1,0,1,1,0,1,1,2
0,0,1,0,1,1,1,0,0,3
0,0,1,0,1,1,1,0,1,4
0,0,1,0,1,1,1,1,0,1
0,0,1,0,1,1,1,1,1,1
0,0,1,1,0,0,0,0,0,1
0,0,1,1,0,0,0,0,1,1
0,0,1,1,0,0,0,1,0,1
0,0,1,1,0,0,0,1,1,1
0,0,1,1,0,0,1,0,0,1
0,0,1,1,0,0,1,0,1,2
0,0,1,1,0,0,1,1,0,3
0,0,1,1,0,0,1,1,1,4
0,0,1,1,0,1,0,0,0,1
0,0,1,1,0,1,0,0,1,1
0,0,1,1,0,1,0,1,0,1
0,0,1,1,0,1,0,1,1,1
0,0,1,1,0,1,1,0,0,1
0,0,1,1,0,1,1,0,1,1
0,0,1,1,0,1,1,1,0,1
0,0,1,1,0,1,1,1,1,2
0,0,1,1,1,0,0,0,0,3
0,0,1,1,1,0,0,0,1,4
0,0,1,1,1,0,0,1,0,1
0,0,1,1,1,0,0,1,1,1
0,0,1,1,1,0,1,0,0,1
0,0,1,1,1,0,1,0,1,1
0,0,1,1,1,0,1,1,0,1
0,0,1,1,1,0,1,1,1,1
0,0,1,1,1,1,0,0,0,1
0,0,1,1,1,1,0,0,1,2
0,0,1,1,1,1,0,1,0,3
0,0,1,1,1,1,0,1,1,4
0,0,1,1,1,1,1,0,0,1
0,0,1,1,1,1,1,0,1,1
0,0,1,1,1,1,1,1,0,1
0,0,1,1,1,1,1,1,1,1
0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,1
0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,1,2
0,1,0,0,0,0,1,0,0,3
0,1,0,0,0,0,1,0,1,4
0,1,0,0,0,0,1,1,0,1
0,1,0,0,0,0,1,1,1,1
0,1,0,0,0,1,0,0,0,1
0,1,0,0,0,1,0,0,1,1
0,1,0,0,0,1,0,1,0,1
0,1,0,0,0,1,0,1,1,1
0,1,0,0,0,1,1,0,0,1
0,1,0,0,0,1,1,0,1,2
0,1,0,0,0,1,1,1,0,3
0,1,0,0,0,1,1,1,1,4
0,1,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,1,1
0,1,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,1,1,1
0,1,0,0,1,0,1,0,0,1
0,1,0,0,1,0,1,0,1,1
0,1,0,0,1,0,1,1,0,1
0,1,0,0,1,0,1,1,1,2
0,1,0,0,1,1,0,0,0,3
0,1,0,0,1,1,0,0,1,4
0,1,0,0,1,1,0,1,0,1
0,1,0,0,1,1,0,1,1,1
0,1,0,0,1,1,1,0,0,1
0,1,0,0,1,1,1,0,1,1
0,1,0,0,1,1,1,1,0,1
0,1,0,0,1,1,1,1,1,1
0,1,0,1,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,2
0,1,0,1,0,0,0,1,0,3
0,1,0,1,0,0,0,1,1,4
0,1,0,1,0,0,1,0,0,1
0,1,0,1,0,0,1,0,1,1
0,1,0,1,0,0,1,1,0,1
0,1,0,1,0,0,1,1,1,1
0,1,0,1,0,1,0,0,0,1
0,1,0,1,0,1,0,0,1,1
0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,1,2
0,1,0,1,0,1,1,0,0,3
0,1,0,1,0,1,1,0,1,4
0,1,0,1,0,1,1,1,0,1
0,1,0,1,0,1,1,1,1,1
0,1,0,1,1,0,0,0,0,1
0,1,0,1,1,0,0,0,1,1
0,1,0,1,1,0,0,1,0,1
0,1,0,1,1,0,0,1,1,1
0,1,0,1,1,0,1,0,0,1
0,1,0,1,1,0,1,0,1,2
0,1,0,1,1,0,1,1,0,3
0,1,0,1,1,0,1,1,1,4
0,1,0,1,1,1,0,0,0,1
0,1,0,1,1,1,0,0,1,1
0,1,0,1,1,1,0,1,0,1
0,1,0,1,1,1,0,1,1,1
0,1,0,1,1,1,1,0,0,1
0,1,0,1,1,1,1,0,1,1
0,1,0,1,1,1,1,1,0,1
0,1,0,1,1,1,1,1,1,2
0,1,1,0,0,0,0,0,0,3
0,1,1,0,0,0,0,0,1,4
0,1,1,0,0,0,0,1,0,1
0,1,1,0,0,0,0,1,1,1
0,1,1,0,0,0,1,0,0,1
0,1,1,0,0,0,1,0,1,1
0,1,1,0,0,0,1,1,0,1
0,1,1,0,0,0,1,1,1,1
0,1,1,0,0,1,0,0,0,1
0,1,1,0,0,1,0,0,1,2
0,1,1,0,0,1,0,1,0,3
0,1,1,0,0,1,0,1,1,4
0,1,1,0,0,1,1,0,0,1
0,1,1,0,0,1,1,0,1,1
0,1,1,0,0,1,1,1,0,1
0,1,1,0,0,1,1,1,1,1
0,1,1,0,1,0,0,0,0,1
0,1,1,0,1,0,0,0,1,1
0,1,1,0,1,0,0,1,0,1
0,1,1,0,1,0,0,1,1,2
0,1,1,0,1,0,1,0,0,3
0,1,1,0,1,0,1,0,1,4
0,1,1,0,1,0,1,1,0,1
0,1,1,0,1,0,1,1,1,1
0,1,1,0,1,1,0,0,0,1
0,1,1,0,1,1,0,0,1,1
0,1,1,0,1,1,0,1,0,1
0,1,1,0,1,1,0,1,1,1
0,1,1,0,1,1,1,0,0,1
0,1,1,0,1,1,1,0,1,2
0,1,1,0,1,1,1,1,0,3
0,1,1,0,1,1,1,1,1,4
0,1,1,1,0,0,0,0,0,1
0,1,1,1,0,0,0,0,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,1,1
0,1,1,1,0,0,1,0,0,1
0,1,1,1,0,0,1,0,1,1
0,1,1,1,0,0,1,1,0,1
0,1,1,1,0,0,1,1,1,2
0,1,1,1,0,1,0,0,0,3
0,1,1,1,0,1,0,0,1,4
0,1,1,1,0,1,0,1,0,1
0,1,1,1,0,1,0,1,1,1
0,1,1,1,0,1,1,0,0,1
0,1,1,1,0,1,1,0,1,1
0,1,1,1,0,1,1,1,0,1
0,1,1,1,0,1,1,1,1,1
0,1,1,1,1,0,0,0,0,1
0,1,1,1,1,0,0,0,1,2
0,1,1,1,1,0,0,1,0,3
0,1,1,1,1,0,0,1,1,4
0,1,1,1,1,0,1,0,0,1
0,1,1,1,1,0,1,0,1,1
0,1,1,1,1,0,1,1,0,1
0,1,1,1,1,0,1,1,1,1
0,1,1,1,1,1,0,0,0,1
0,1,1,1,1,1,0,0,1,1
0,1,1,1,1,1,0,1,0,1
0,1,1,1,1,1,0,1,1,2
0,1,1,1,1,1,1,0,0,3
0,1,1,1,1,1,1,0,1,4
0,1,1,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1,2
1,0,0,0,0,0,1,1,0,3
1,0,0,0,0,0,1,1,1,4
1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,1,1,1
1,0,0,0,0,1,1,0,0,1
1,0,0,0,0,1,1,0,1,1
1,0,0,0,0,1,1,1,0,1
1,0,0,0,0,1,1,1,1,2
1,0,0,0,1,0,0,0,0,3
1,0,0,0,1,0,0,0,1,4
1,0,0,0,1,0,0,1,0,1
1,0,0,0,1,0,0,1,1,1
1,0,0,0,1,0,1,0,0,1
1,0,0,0,1,0,1,0,1,1
1,0,0,0,1,0,1,1,0,1
1,0,0,0,1,0,1,1,1,1
1,0,0,0,1,1,0,0,0,1
1,0,0,0,1,1,0,0,1,2
1,0,0,0,1,1,0,1,0,3
1,0,0,0,1,1,0,1,1,4
1,0,0,0,1,1,1,0,0,1
1,0,0,0,1,1,1,0,1,1
1,0,0,0,1,1,1,1,0,1
1,0,0,0,1,1,1,1,1,1
1,0,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,0,1,1
1,0,0,1,0,0,0,1,0,1
1,0,0,1,0,0,0,1,1,2
1,0,0,1,0,0,1,0,0,3
1,0,0,1,0,0,1,0,1,4
1,0,0,1,0,0,1,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,1,1
1,0,0,1,0,1,0,1,0,1
1,0,0,1,0,1,0,1,1,1
1,0,0,1,0,1,1,0,0,1
